Value,Category,Pixel count,Area (acres)
37,Other Hay/Non Alfalfa,125859,3110
59,Sod/Grass Seed,84552,2089.3
1,Corn,47778,1180.6
36,Alfalfa,18219,450.2
69,Grapes,17251,426.3
68,Apples,14747,364.4
12,Sweet Corn,14383,355.4
70,Christmas Trees,11473,283.5
43,Potatoes,10649,263.1
27,Rye,7792,192.5
47,Misc Vegs & Fruits,6387,157.8
222,Squash,5673,140.2
44,Other Crops,5580,137.9
61,Fallow/Idle Cropland,5388,133.1
229,Pumpkins,5187,128.2
92,Aquaculture,4430,109.5
4,Sorghum,4244,104.9
71,Other Tree Crops,4081,100.8
50,Cucumbers,3094,76.5
11,Tobacco,2806,69.3
67,Peaches,2490,61.5
23,Spring Wheat,2323,57.4
216,Peppers,1465,36.2
28,Oats,1375,34
42,Dry Beans,942,23.3
6,Sunflower,877,21.7
221,Strawberries,831,20.5
21,Barley,468,11.6
242,Blueberries,394,9.7
5,Soybeans,386,9.5
77,Pears,352,8.7
250,Cranberries,331,8.2
56,Hops,178,4.4
247,Turnips,175,4.3
13,Pop or Orn Corn,170,4.2
205,Triticale,147,3.6
46,Sweet Potatoes,123,3
53,Peas,101,2.5
54,Tomatoes,90,2.2
66,Cherries,54,1.3
57,Herbs,43,1.1
206,Carrots,39,1
25,Other Small Grains,14,0.3
24,Winter Wheat,11,0.3
249,Gourds,3,0.1
218,Nectarines,2,0
